Block,Total Edges
Block-331,76943
Block-332,75668
Block-333,76908
Block-334,75686
Block-335,76314
Block-336,76237
Block-337,76009
Block-338,76271
Block-339,76030
Block-340,77858
Block-341,93474
Block-342,77121
Block-343,76455
Block-344,75844
Block-345,76044
Block-346,76372
Block-347,76286
Block-348,76307
Block-349,76541
Block-350,76359
Block-351,75571
Block-352,77209
Block-353,76611
Block-354,76376
Block-355,76575
Block-356,77168
Block-357,76700
Block-358,76606
Block-359,77299
Block-360,76267
Block-361,76040
Block-362,76295
Block-363,77418
Block-364,75067
Block-365,76126
Block-366,76117
Block-367,75864
Block-368,76558
Block-369,76083
Block-370,76589
Block-371,77203
Block-372,93706
Block-373,76288
Block-374,75843
Block-375,75349
Block-376,76368
Block-377,75923
Block-378,75989
Block-379,76201
Block-380,76279
Block-381,75119
Block-382,77692
Block-383,75712
Block-384,76437
Block-385,75837
Block-386,76472
Block-387,76475
Block-388,76336
Block-389,76667
Block-390,76401
Block-391,76459
Block-392,75785
Block-393,76410
Block-394,75690
Block-395,75887
Block-396,76089
Block-397,76063
Block-398,75827
Block-399,75397
Block-400,76293
Block-401,76773
Block-402,76653
Block-403,92672
Block-404,75867
Block-405,75574
Block-406,75846
Block-407,76180
Block-408,75774
Block-409,75858
Block-410,75554
Block-411,75696
Block-412,77070
Block-413,76186
Block-414,76494
Block-415,76479
Block-416,76123
Block-417,75699
Block-418,75725
Block-419,76755
Block-420,75582
Block-421,75388
Block-422,74996
Block-423,75527
Block-424,74634
Block-425,74843
Block-426,75087
Block-427,75567
Block-428,75088
Block-429,75128
Block-430,75861
Block-431,76089
Block-432,76098
Block-433,75533
Block-434,92141
Block-435,75856
Block-436,75740
Block-437,75407
Block-438,75783
Block-439,75695
Block-440,75478
Block-441,75259
Block-442,76213
Block-443,74836
Block-444,75909
Block-445,76040
Block-446,75394
Block-447,75713
Block-448,75443
Block-449,75860
Block-450,76249
Block-451,75846
Block-452,75820
Block-453,75935
Block-454,75128
Block-455,75412
Block-456,75170
Block-457,75737
Block-458,75477
Block-459,75106
Block-460,76182
Block-461,76295
Block-462,75360
Block-463,75211
Block-464,75781
Block-465,92432
Block-466,75753
Block-467,75768
Block-468,75968
Block-469,75656
Block-470,75574
Block-471,74797
Block-472,76608
Block-473,74903
Block-474,75867
Block-475,75752
Block-476,75922
Block-477,75755
Block-478,75375
Block-479,76665
Block-480,75852
Block-481,76753
Block-482,76061
Block-483,76969
Block-484,75952
Block-485,75933
Block-486,76002
Block-487,75578
Block-488,75832
Block-489,75494
Block-490,76385
Block-491,76756
Block-492,76846
Block-493,75990
Block-494,75979
Block-495,76082
Block-496,93218
Block-497,76501
Block-498,76302
Block-499,76160
Block-500,76177
Block-501,76004
Block-502,76985
Block-503,76189
Block-504,76686
Block-505,76289
Block-506,76676
Block-507,76498
Block-508,76189
Block-509,76641
Block-510,76037
Block-511,76701
Block-512,76317
Block-513,76813
Block-514,76134
Block-515,75705
Block-516,75907
Block-517,75879
Block-518,76181
Block-519,75837
Block-520,76746
Block-521,76361
Block-522,75947
Block-523,75594
Block-524,75076
Block-525,75816
Block-526,76382
Block-527,93951
Block-528,76655
Block-529,76309
Block-530,76119
Block-531,75301
Block-532,76814
Block-533,75919
Block-534,76702
Block-535,76531
Block-536,76453
Block-537,75817
Block-538,76346
Block-539,76579
Block-540,75920
Block-541,76040
Block-542,76062
Block-543,76243
Block-544,75271
Block-545,76210
Block-546,75840
Block-547,76255
Block-548,75849
Block-549,75058
Block-550,76301
Block-551,76502
Block-552,76079
Block-553,75686
Block-554,75244
Block-555,76242
Block-556,75979
Block-557,76842
Block-558,92681
Block-559,76039
Block-560,76177
Block-561,75490
Block-562,76932
Block-563,75928
Block-564,76430
Block-565,75993
Block-566,75778
Block-567,75647
Block-568,75615
Block-569,76045
Block-570,76557
Block-571,76813
Block-572,76344
Block-573,75790
Block-574,75383
Block-575,75886
Block-576,75594
Block-577,75741
Block-578,76174
Block-579,75340
Block-580,76447
Block-581,76862
Block-582,76237
Block-583,75444
Block-584,75432
Block-585,75732
Block-586,75753
Block-587,76565
Block-588,76083
Block-589,93470
Block-590,76423
Block-591,76149
Block-592,76855
Block-593,75806
Block-594,76501
Block-595,76179
Block-596,77070
Block-597,76420
Block-598,76383
Block-599,76736
Block-600,75769
Block-601,76312
Block-602,75417
Block-603,76272
Block-604,75469
Block-605,75575
Block-606,75946
Block-607,75647
Block-608,75920
Block-609,75173
Block-610,76064
Block-611,76657
Block-612,76196
Block-613,74857
Block-614,74958
Block-615,75747
Block-616,75612
Block-617,75904
Block-618,76146
Block-619,76384
Block-620,92722
Block-621,75713
Block-622,77055
Block-623,75653
Block-624,75899
Block-625,76120
Block-626,76478
Block-627,75611
Block-628,75593
Block-629,76221
Block-630,76324
Block-631,75988
Block-632,75994
Block-633,76375
Block-634,75456
Block-635,75588
Block-636,75778
Block-637,76155
Block-638,76288
Block-639,75666
Block-640,76176
Block-641,76383
Block-642,76075
Block-643,75664
Block-644,75531
Block-645,75505
Block-646,76385
Block-647,76157
Block-648,76206
Block-649,76671
Block-650,76492
Block-651,92461
Block-652,76970
Block-653,75939
Block-654,76356
Block-655,76321
Block-656,76516
Block-657,76534
Block-658,75716
Block-659,76451
Block-660,76901
Block-661,76615
Block-662,76858
Block-663,76451
Block-664,76299
Block-665,76334
Block-666,75752
Block-667,76229
Block-668,76702
Block-669,76319
Block-670,76603
Block-671,77261
Block-672,77135
Block-673,76092
Block-674,75549
Block-675,76344
Block-676,75977
Block-677,76485
Block-678,76407
Block-679,76240
Block-680,76755
Block-681,76134
Block-682,94409
Block-683,76810
Block-684,77621
Block-685,76646
Block-686,77010
Block-687,75623
Block-688,76217
Block-689,77108
Block-690,76078
Block-691,76596
Block-692,75571
Block-693,76100
Block-694,75679
Block-695,76240
Block-696,75768
Block-697,75648
Block-698,76612
Block-699,75743
Block-700,76218
Block-701,77213
Block-702,76071
Block-703,76029
Block-704,74793
Block-705,75273
Block-706,75851
Block-707,76116
Block-708,76331
Block-709,75854
Block-710,75741
Block-711,75911
Block-712,77278
Block-713,93256
Block-714,76919
Block-715,75992
Block-716,76421
Block-717,76104
Block-718,76456
Block-719,76268
Block-720,76131
Block-721,76296
Block-722,75855
Block-723,76166
Block-724,74812
Block-725,75976
Block-726,76009
Block-727,75627
Block-728,75692
Block-729,75575
Block-730,76321
Block-731,76135
Block-732,76026
Block-733,75541
Block-734,75322
Block-735,75281
Block-736,75718
Block-737,75955
Block-738,76018
Block-739,75940
Block-740,75413
Block-741,74950
Block-742,77430
Block-743,76156
Block-744,93450
Block-745,76636
Block-746,76835
Block-747,75745
Block-748,76084
Block-749,76001
Block-750,76176
Block-751,76790
Block-752,76291
Block-753,76932
Block-754,75842
Block-755,76227
Block-756,75827
Block-757,75977
Block-758,76571
Block-759,76198
Block-760,76868
Block-761,76741
Block-762,75896
Block-763,76525
Block-764,76409
Block-765,76405
Block-766,75857
Block-767,76443
Block-768,76498
Block-769,76489
Block-770,76636
Block-771,76103
Block-772,77235
Block-773,76156
Block-774,77309
Block-775,92943
Block-776,77390
Block-777,76111
Block-778,76829
Block-779,76666
Block-780,76653
Block-781,76904
Block-782,75741
Block-783,76925
Block-784,75630
Block-785,76364
Block-786,75940
Block-787,75764
Block-788,75939
Block-789,75389
Block-790,76488
Block-791,77467
Block-792,76015
Block-793,75354
Block-794,75250
Block-795,75858
Block-796,76015
Block-797,75937
Block-798,75713
Block-799,76736
Block-800,76413
Block-801,76127
Block-802,76658
Block-803,75818
Block-804,77334
Block-805,76856
Block-806,94186
Block-807,77298
Block-808,76611
Block-809,76727
Block-810,76311
Block-811,76847
Block-812,75509
Block-813,76461
Block-814,75406
Block-815,76065
Block-816,75822
Block-817,75346
Block-818,76049
Block-819,75293
Block-820,75849
Block-821,76786
Block-822,76142
Block-823,75393
Block-824,75695
Block-825,75554
Block-826,75884
Block-827,75774
Block-828,75697
Block-829,76323
Block-830,75604
Block-831,75522
Block-832,76192
Block-833,75869
Block-834,76031
Block-835,75962
Block-836,77157
Block-837,93892
Block-838,76456
Block-839,76429
Block-840,76177
Block-841,76589
Block-842,75612
Block-843,76255
Block-844,75476
Block-845,76269
Block-846,76121
Block-847,76012
Block-848,76047
Block-849,75507
Block-850,76117
Block-851,76913
Block-852,76371
Block-853,75611
Block-854,74639
Block-855,75419
Block-856,75788
Block-857,76345
Block-858,75791
Block-859,76368
Block-860,75856
Block-861,75053
Block-862,76553
Block-863,75896
Block-864,76287
Block-865,76663
Block-866,76660
Block-867,76411
Block-868,94272
Block-869,77379
Block-870,77026
Block-871,77240
Block-872,76425
Block-873,76672
Block-874,75361
Block-875,76167
Block-876,76087
Block-877,76091
Block-878,76895
Block-879,75432
Block-880,76699
Block-881,77154
Block-882,76361
Block-883,76273
Block-884,75574
Block-885,76075
Block-886,75951
Block-887,76251
Block-888,76002
Block-889,76307
Block-890,76170
Block-891,75365
Block-892,76830
Block-893,75895
Block-894,76256
Block-895,76205
Block-896,76833
Block-897,76270
Block-898,77042
Block-899,94421
