Block,Total Edges
Block-148,0
Block-149,0
Block-150,11935
Block-151,17839
Block-152,13345
Block-153,138556
Block-154,120959
Block-155,214566
Block-156,136790
Block-157,166291
Block-158,183178
Block-159,253236
Block-160,52427
Block-161,23823
Block-162,23837
Block-163,24709
Block-164,27392
Block-165,26650
Block-166,25365
Block-167,239071
Block-168,157089
Block-169,130344
Block-170,112743
Block-171,93645
Block-172,83008
Block-173,47633
Block-174,78667
Block-175,14858
Block-176,39738
Block-177,16178
Block-178,0
Block-179,0
Block-180,11060
Block-181,15587
Block-182,13096
Block-183,107086
Block-184,94136
Block-185,153317
Block-186,147255
Block-187,153798
Block-188,175548
Block-189,244998
Block-190,51676
Block-191,26562
Block-192,25758
Block-193,27824
Block-194,29810
Block-195,28559
Block-196,28723
Block-197,236778
Block-198,158081
Block-199,132377
Block-200,113839
Block-201,93724
Block-202,81324
Block-203,46605
Block-204,72968
Block-205,14657
Block-206,34925
Block-207,14175
Block-208,0
Block-209,0
Block-210,14999
Block-211,20351
Block-212,17410
Block-213,131969
Block-214,115466
Block-215,196019
Block-216,162250
Block-217,241227
Block-218,248022
Block-219,348652
Block-220,74564
Block-221,38732
Block-222,37839
Block-223,40336
Block-224,43473
Block-225,41165
Block-226,41555
Block-227,340020
Block-228,229525
Block-229,190253
Block-230,162808
Block-231,133912
Block-232,115370
Block-233,65816
Block-234,102365
Block-235,20476
Block-236,48698
Block-237,20157
Block-238,0
Block-239,0
Block-240,18806
Block-241,24143
Block-242,20446
Block-243,150376
Block-244,132971
Block-245,228235
Block-246,194565
Block-247,259256
Block-248,347673
Block-249,456817
Block-250,97921
Block-251,50614
Block-252,49848
Block-253,51599
Block-254,55470
Block-255,52507
Block-256,54361
Block-257,452529
Block-258,302636
Block-259,249966
Block-260,212775
Block-261,172360
Block-262,148845
Block-263,83705
Block-264,131281
Block-265,25962
Block-266,62527
Block-267,26199
Block-268,0
Block-269,0
Block-270,27471
Block-271,32666
Block-272,27560
Block-273,205383
Block-274,183065
Block-275,322522
Block-276,279031
Block-277,374895
Block-278,470893
Block-279,795111
Block-280,166495
Block-281,77847
Block-282,76438
Block-283,79685
Block-284,84115
Block-285,79772
Block-286,83787
Block-287,743220
Block-288,485795
Block-289,397056
Block-290,333039
Block-291,270884
Block-292,234654
Block-293,132166
Block-294,211878
Block-295,40956
Block-296,105357
Block-297,49100
Block-298,0
Block-299,0
Block-300,5532
Block-301,6438
Block-302,5919
Block-303,38446
Block-304,38021
Block-305,67381
Block-306,59957
Block-307,81955
Block-308,103123
Block-309,169487
Block-310,79339
Block-311,15466
Block-312,16982
Block-313,17970
Block-314,22377
Block-315,23411
Block-316,20213
Block-317,168844
Block-318,113623
Block-319,94219
Block-320,79818
Block-321,65972
Block-322,58985
Block-323,33704
Block-324,54964
Block-325,11622
Block-326,28224
Block-327,14615
Block-328,0
Block-329,0
Block-330,3428
Block-331,3269
Block-332,3362
Block-333,17521
Block-334,18357
Block-335,32301
Block-336,32144
Block-337,43565
Block-338,54172
Block-339,79979
Block-340,15517
Block-341,40196
Block-342,12050
Block-343,12887
Block-344,14100
Block-345,13784
Block-346,15510
Block-347,83961
Block-348,63504
Block-349,52562
Block-350,43637
Block-351,37288
Block-352,30453
Block-353,17809
Block-354,23894
Block-355,6350
Block-356,9974
Block-357,4325
Block-358,0
Block-359,0
Block-360,3434
Block-361,4182
Block-362,4104
Block-363,18386
Block-364,19600
Block-365,32664
Block-366,31348
Block-367,42760
Block-368,53671
Block-369,78837
Block-370,17072
Block-371,12037
Block-372,39900
Block-373,10093
Block-374,14144
Block-375,13756
Block-376,13483
Block-377,85007
Block-378,64035
Block-379,53588
Block-380,45942
Block-381,36439
Block-382,32037
Block-383,18391
Block-384,24654
Block-385,6155
Block-386,10917
Block-387,4798
Block-388,0
Block-389,0
Block-390,3150
Block-391,3699
Block-392,4710
Block-393,18503
Block-394,19720
Block-395,33471
Block-396,33412
Block-397,45378
Block-398,55291
Block-399,82190
Block-400,18058
Block-401,12863
Block-402,10069
Block-403,46715
Block-404,16062
Block-405,16184
Block-406,15330
Block-407,87894
Block-408,65655
Block-409,54907
Block-410,46479
Block-411,38224
Block-412,31914
Block-413,18875
Block-414,25903
Block-415,6700
Block-416,11221
Block-417,5005
Block-418,0
Block-419,0
Block-420,3091
Block-421,4164
Block-422,4830
Block-423,20095
Block-424,22316
Block-425,36913
Block-426,35672
Block-427,48577
Block-428,59255
Block-429,86418
Block-430,22422
Block-431,14090
Block-432,14123
Block-433,16016
Block-434,51174
Block-435,13979
Block-436,11631
Block-437,89692
Block-438,68110
Block-439,56802
Block-440,49000
Block-441,40769
Block-442,35943
Block-443,21243
Block-444,28364
Block-445,7948
Block-446,13154
Block-447,5998
Block-448,0
Block-449,0
Block-450,3451
Block-451,3805
Block-452,4854
Block-453,18147
Block-454,20582
Block-455,35820
Block-456,34192
Block-457,46106
Block-458,56211
Block-459,82135
Block-460,23496
Block-461,13784
Block-462,13725
Block-463,16157
Block-464,13932
Block-465,49896
Block-466,12994
Block-467,87222
Block-468,65761
Block-469,55451
Block-470,47766
Block-471,39210
Block-472,33192
Block-473,20539
Block-474,25825
Block-475,7612
Block-476,11631
Block-477,5027
Block-478,0
Block-479,0
Block-480,3485
Block-481,3637
Block-482,4345
Block-483,18158
Block-484,20018
Block-485,34476
Block-486,34553
Block-487,46805
Block-488,58124
Block-489,86386
Block-490,20263
Block-491,15450
Block-492,13502
Block-493,15329
Block-494,11591
Block-495,12971
Block-496,55193
Block-497,89276
Block-498,66942
Block-499,56242
Block-500,48139
Block-501,39273
Block-502,32587
Block-503,19434
Block-504,25840
Block-505,7081
Block-506,10676
Block-507,4588
Block-508,0
Block-509,0
Block-510,35850
Block-511,41386
Block-512,34016
Block-513,230879
Block-514,199314
Block-515,341714
Block-516,293841
Block-517,391867
Block-518,492589
Block-519,772708
Block-520,171032
Block-521,85084
Block-522,86061
Block-523,88921
Block-524,90789
Block-525,88214
Block-526,90212
Block-527,920777
Block-528,568302
Block-529,464130
Block-530,386320
Block-531,313420
Block-532,269398
Block-533,150449
Block-534,242982
Block-535,47184
Block-536,122324
Block-537,60950
Block-538,0
Block-539,0
Block-540,35420
Block-541,39011
Block-542,35165
Block-543,197127
Block-544,159658
Block-545,260196
Block-546,219095
Block-547,287186
Block-548,349523
Block-549,523304
Block-550,117618
Block-551,65812
Block-552,66192
Block-553,68041
Block-554,70382
Block-555,68052
Block-556,69243
Block-557,578096
Block-558,447757
Block-559,339372
Block-560,285750
Block-561,232365
Block-562,196991
Block-563,111421
Block-564,170163
Block-565,34369
Block-566,80345
Block-567,37644
Block-568,0
Block-569,0
Block-570,36920
Block-571,42782
Block-572,37531
Block-573,205678
Block-574,156555
Block-575,243943
Block-576,201224
Block-577,256570
Block-578,304438
Block-579,442835
Block-580,99487
Block-581,55586
Block-582,56630
Block-583,58046
Block-584,59941
Block-585,58525
Block-586,59516
Block-587,480062
Block-588,344809
Block-589,323607
Block-590,250293
Block-591,205554
Block-592,177395
Block-593,100117
Block-594,153675
Block-595,31627
Block-596,72698
Block-597,34567
Block-598,0
Block-599,0
Block-600,38832
Block-601,46056
Block-602,41042
Block-603,219162
Block-604,159259
Block-605,237830
Block-606,191460
Block-607,237508
Block-608,275197
Block-609,386266
Block-610,86514
Block-611,47299
Block-612,49911
Block-613,50298
Block-614,52932
Block-615,51635
Block-616,52195
Block-617,408017
Block-618,296068
Block-619,254910
Block-620,254593
Block-621,187015
Block-622,165491
Block-623,94108
Block-624,147180
Block-625,30476
Block-626,70927
Block-627,33302
Block-628,0
Block-629,0
Block-630,38343
Block-631,45932
Block-632,43849
Block-633,227569
Block-634,156405
Block-635,225195
Block-636,175613
Block-637,214045
Block-638,239797
Block-639,329759
Block-640,73566
Block-641,41574
Block-642,40779
Block-643,42699
Block-644,45450
Block-645,43657
Block-646,43779
Block-647,340138
Block-648,246879
Block-649,214313
Block-650,191210
Block-651,193738
Block-652,147432
Block-653,85843
Block-654,136452
Block-655,28130
Block-656,65786
Block-657,30766
Block-658,0
Block-659,0
Block-660,40097
Block-661,49638
Block-662,46982
Block-663,253567
Block-664,165202
Block-665,230601
Block-666,172377
Block-667,205085
Block-668,225757
Block-669,302988
Block-670,67811
Block-671,35105
Block-672,37357
Block-673,37141
Block-674,41377
Block-675,38320
Block-676,37885
Block-677,302076
Block-678,215881
Block-679,190718
Block-680,174357
Block-681,151923
Block-682,166917
Block-683,83095
Block-684,137017
Block-685,27570
Block-686,67616
Block-687,33080
Block-688,0
Block-689,0
Block-690,27248
Block-691,35353
Block-692,34505
Block-693,181167
Block-694,114679
Block-695,153412
Block-696,113522
Block-697,131328
Block-698,140124
Block-699,182774
Block-700,40527
Block-701,21653
Block-702,22462
Block-703,22991
Block-704,25503
Block-705,24819
Block-706,23715
Block-707,175855
Block-708,127143
Block-709,112084
Block-710,102936
Block-711,91665
Block-712,85939
Block-713,73122
Block-714,86695
Block-715,18724
Block-716,43697
Block-717,21316
Block-718,0
Block-719,0
Block-720,54593
Block-721,74453
Block-722,66402
Block-723,415478
Block-724,238299
Block-725,306160
Block-726,212192
Block-727,239573
Block-728,251635
Block-729,324575
Block-730,69695
Block-731,31275
Block-732,32548
Block-733,33764
Block-734,36611
Block-735,34071
Block-736,33847
Block-737,302437
Block-738,207434
Block-739,183779
Block-740,171524
Block-741,156193
Block-742,150396
Block-743,92432
Block-744,200476
Block-745,32838
Block-746,92218
Block-747,45905
Block-748,0
Block-749,0
Block-750,15327
Block-751,19574
Block-752,24087
Block-753,104778
Block-754,63087
Block-755,77430
Block-756,55881
Block-757,61148
Block-758,61684
Block-759,74016
Block-760,16416
Block-761,9318
Block-762,9153
Block-763,9986
Block-764,11420
Block-765,11067
Block-766,10539
Block-767,65227
Block-768,46616
Block-769,41601
Block-770,38827
Block-771,34989
Block-772,33251
Block-773,21810
Block-774,36018
Block-775,26137
Block-776,20919
Block-777,10187
Block-778,0
Block-779,0
Block-780,45791
Block-781,68870
Block-782,52274
Block-783,398699
Block-784,209139
Block-785,249415
Block-786,161078
Block-787,174532
Block-788,175340
Block-789,214638
Block-790,43167
Block-791,16977
Block-792,18811
Block-793,18618
Block-794,21312
Block-795,19298
Block-796,18191
Block-797,186666
Block-798,121705
Block-799,108898
Block-800,103707
Block-801,94517
Block-802,94022
Block-803,60090
Block-804,118383
Block-805,24248
Block-806,106053
Block-807,42924
Block-808,0
Block-809,0
Block-810,51693
Block-811,90290
Block-812,62791
Block-813,486240
Block-814,246613
Block-815,282987
Block-816,181766
Block-817,181482
Block-818,179593
Block-819,212876
Block-820,37653
Block-821,15166
Block-822,16542
Block-823,16571
Block-824,18795
Block-825,16175
Block-826,15845
Block-827,164471
Block-828,105849
Block-829,97194
Block-830,91938
Block-831,85792
Block-832,88797
Block-833,58672
Block-834,120267
Block-835,24771
Block-836,93896
Block-837,78252
Block-838,0
Block-839,0
Block-840,9561
Block-841,7454
Block-842,10657
Block-843,38735
Block-844,20764
Block-845,25884
Block-846,17764
Block-847,18374
Block-848,16376
Block-849,15982
Block-850,2783
Block-851,2010
Block-852,1742
Block-853,2123
Block-854,2597
Block-855,2629
Block-856,2706
Block-857,8925
Block-858,6408
Block-859,5706
Block-860,5058
Block-861,4443
Block-862,3933
Block-863,2770
Block-864,3751
Block-865,1277
Block-866,2019
Block-867,1215
Block-868,0
Block-869,0
Block-870,8096
Block-871,10626
Block-872,9633
Block-873,44562
Block-874,21683
Block-875,24538
Block-876,18069
Block-877,18379
Block-878,17581
Block-879,16309
Block-880,3174
Block-881,2118
Block-882,2740
Block-883,2154
Block-884,1895
Block-885,1622
Block-886,1738
Block-887,9092
Block-888,6727
Block-889,5827
Block-890,5330
Block-891,4409
Block-892,4164
Block-893,2684
Block-894,3922
Block-895,1288
Block-896,2244
Block-897,1281
Block-898,0
Block-899,0
